,sellerid,eventid,salesid,buyerid,dateid,qtysold,pricepaid,commission,numtickets,priceperticket
85,41851,873,55097,13447,1917,1,144.0,21.6,14,144.0
86,41851,873,55098,13559,1917,2,288.0,43.2,14,144.0
87,4891,7963,55609,12802,1917,4,756.0,113.4,9,189.0
88,19312,5870,58139,4245,1917,2,836.0,125.4,18,418.0
89,43116,6567,58581,8013,1917,1,398.0,59.7,3,398.0
90,14945,8763,58707,30413,1917,2,604.0,90.6,12,302.0
91,16019,4871,59116,25603,1917,4,692.0,103.8,7,173.0
92,19841,4044,59491,3806,1917,2,736.0,110.4,9,368.0
93,26768,577,59742,2935,1917,2,590.0,88.5,16,295.0
94,35674,6944,60562,15175,1917,1,80.0,12.0,22,80.0
95,36848,8315,61428,12750,1917,2,934.0,140.1,7,467.0
96,40249,6431,61613,31610,1917,1,45.0,6.75,18,45.0
97,14803,3271,63271,15998,1917,3,1137.0,170.55,22,379.0
98,1396,5537,63324,22871,1917,3,612.0,91.8,12,204.0
99,23110,8562,64844,15363,1917,4,992.0,148.8,10,248.0
100,39258,8347,65250,18294,1917,2,460.0,69.0,5,230.0
101,10555,5165,65691,35815,1917,1,135.0,20.25,12,135.0
102,49796,1575,65917,20228,1917,2,214.0,32.1,6,107.0
103,27927,527,68007,6244,1917,3,588.0,88.2,10,196.0
104,12278,5791,68621,4956,1917,2,136.0,20.4,7,68.0
105,6035,5706,69147,2268,1917,1,271.0,40.65,7,271.0
106,39092,2610,70270,7302,1917,1,136.0,20.4,12,136.0
107,22608,8002,72124,4976,1917,1,358.0,53.7,24,358.0
108,43718,8242,72734,8177,1917,1,302.0,45.3,4,302.0
109,2921,570,73018,35320,1917,4,1992.0,298.8,16,498.0
110,15479,8559,73993,4750,1917,3,720.0,108.0,16,240.0
111,20695,2070,76791,4322,1917,1,120.0,18.0,9,120.0
112,47606,2831,76907,4994,1917,2,952.0,142.8,7,476.0
113,11369,3998,77690,17799,1917,1,478.0,71.7,22,478.0
114,18576,4871,78108,8478,1917,1,371.0,55.65,7,371.0
115,20589,1213,79797,38294,1917,2,830.0,124.5,12,415.0
116,2129,333,80666,20546,1917,3,618.0,92.7,20,206.0
117,26462,921,80711,35029,1917,2,132.0,19.8,24,66.0
118,38029,8365,80947,953,1917,4,124.0,18.6,16,31.0
119,31491,1169,81262,23192,1917,1,316.0,47.4,8,316.0
120,24776,8397,82990,10460,1917,1,259.0,38.85,14,259.0
121,40844,1993,83214,2154,1917,2,568.0,85.2,6,284.0
122,27080,4548,83829,3311,1917,1,373.0,55.95,22,373.0
123,41243,5714,86490,19898,1917,2,726.0,108.9,16,363.0
124,17136,7818,86671,3953,1917,4,1816.0,272.4,7,454.0
125,8136,7016,87706,14981,1917,1,34.0,5.1,1,34.0
126,14057,7758,89230,48822,1917,3,1455.0,218.25,10,485.0
127,40986,7838,89669,2391,1917,1,214.0,32.1,20,214.0
128,35997,4002,90890,11462,1917,2,912.0,136.8,20,456.0
129,37477,8776,91996,7343,1917,2,346.0,51.9,20,173.0
130,45636,7796,94668,8265,1917,1,368.0,55.2,20,368.0
131,38118,4652,94915,12973,1917,2,656.0,98.4,20,328.0
132,23391,1636,95141,33732,1917,2,776.0,116.4,14,388.0
133,10524,8480,95405,15480,1917,3,216.0,32.4,14,72.0
134,46655,4740,95961,24870,1917,2,702.0,105.3,10,351.0
135,43529,3918,98529,19997,1917,3,1065.0,159.75,10,355.0
136,671,6501,100934,20064,1917,1,290.0,43.5,20,290.0
137,15668,3777,101065,12076,1917,3,1341.0,201.15,9,447.0
138,6502,7209,101662,41159,1917,1,158.0,23.7,14,158.0
139,34445,82,101922,21571,1917,1,70.0,10.5,24,70.0
140,44034,8378,103611,12905,1917,2,298.0,44.7,6,149.0
141,43526,2281,103647,39797,1917,4,1864.0,279.6,16,466.0
142,4106,3975,103962,21908,1917,1,482.0,72.3,3,482.0
143,45145,4119,104203,6986,1917,3,1383.0,207.45,14,461.0
144,8256,6504,104319,22617,1917,1,219.0,32.85,20,219.0
145,45667,4967,104964,15820,1917,4,1960.0,294.0,16,490.0
146,47404,6525,105022,17879,1917,4,1652.0,247.8,20,413.0
147,16133,8276,105845,9669,1917,2,988.0,148.2,10,494.0
148,16340,1093,106477,26023,1917,4,128.0,19.2,10,32.0
149,6782,3017,107627,751,1917,4,1816.0,272.4,12,454.0
150,43984,8640,109996,26465,1917,3,1464.0,219.6,14,488.0
151,39452,5229,110126,564,1917,1,444.0,66.6,20,444.0
152,33980,4969,111524,31250,1917,2,356.0,53.4,20,178.0
153,1513,512,111966,22002,1917,4,768.0,115.2,10,192.0
154,43189,1456,112446,12261,1917,4,792.0,118.8,7,198.0
155,4497,297,113264,5993,1917,1,409.0,61.35,20,409.0
156,7057,6005,114004,15025,1917,1,71.0,10.65,1,71.0
157,29522,8241,114479,1754,1917,2,346.0,51.9,16,173.0
158,22477,8776,114548,7020,1917,1,124.0,18.6,10,124.0
159,13547,3480,115363,2713,1917,1,422.0,63.3,1,422.0
160,11969,4862,115372,8648,1917,4,1124.0,168.6,12,281.0
161,8081,8378,115984,12940,1917,2,532.0,79.8,8,266.0
162,8611,8216,117115,861,1917,2,514.0,77.1,12,257.0
163,24460,2281,118154,36003,1917,2,252.0,37.8,20,126.0
164,45546,7851,118158,35859,1917,1,233.0,34.95,8,233.0
165,22349,6906,118293,8383,1917,2,992.0,148.8,16,496.0
166,9272,8480,118613,12405,1917,4,1340.0,201.0,24,335.0
167,47948,6546,118725,24995,1917,4,240.0,36.0,8,60.0
168,21768,7131,119814,9155,1917,2,656.0,98.4,4,328.0
169,44360,3858,120513,39192,1917,2,622.0,93.3,16,311.0
170,23560,3863,120821,3386,1917,2,398.0,59.7,18,199.0
171,7700,6532,121756,6674,1917,4,348.0,52.2,10,87.0
172,31978,3706,121966,399,1917,1,476.0,71.4,8,476.0
173,31978,3706,121967,444,1917,2,952.0,142.8,8,476.0
174,2580,4114,123135,26434,1917,1,357.0,53.55,7,357.0
175,24071,496,123641,3543,1917,1,249.0,37.35,12,249.0
176,19378,1636,125300,35674,1917,4,280.0,42.0,8,70.0
177,2666,5162,127842,10487,1917,1,339.0,50.85,16,339.0
178,24549,1133,128312,33212,1917,2,146.0,21.9,10,73.0
179,5388,2582,129830,4393,1917,1,481.0,72.15,24,481.0
180,11817,8291,129909,28743,1917,3,1071.0,160.65,7,357.0
181,10134,527,131400,3787,1917,2,274.0,41.1,22,137.0
182,32394,6810,131527,42909,1917,2,280.0,42.0,10,140.0
183,42443,2320,131846,14383,1917,4,596.0,89.4,20,149.0
184,13958,8151,131912,33825,1917,1,421.0,63.15,7,421.0
185,26188,3694,133004,40490,1917,1,57.0,8.55,8,57.0
186,17677,1696,134157,23561,1917,1,155.0,23.25,18,155.0
187,6252,8748,134517,11664,1917,3,177.0,26.55,16,59.0
188,44487,7988,135859,16171,1917,2,532.0,79.8,8,266.0
189,28950,3516,136836,29261,1917,2,482.0,72.3,22,241.0
190,45208,6153,137776,23385,1917,4,552.0,82.8,14,138.0
191,26435,7809,138272,27060,1917,3,582.0,87.3,14,194.0
192,36714,3349,138817,18253,1917,3,762.0,114.3,9,254.0
193,48488,7665,139037,2494,1917,2,922.0,138.3,22,461.0
194,30737,7516,140855,14668,1917,1,173.0,25.95,5,173.0
195,48260,3827,141497,22114,1917,1,70.0,10.5,1,70.0
196,47442,8480,141636,12977,1917,2,216.0,32.4,9,108.0
197,45398,2362,141700,1048,1917,1,314.0,47.1,24,314.0
198,23351,7251,141814,30113,1917,2,610.0,91.5,16,305.0
199,22910,7780,142148,8781,1917,2,372.0,55.8,9,186.0
200,26803,1651,142200,27216,1917,4,188.0,28.2,14,47.0
201,47766,7251,142467,32678,1917,2,358.0,53.7,20,179.0
202,31157,4111,143610,16754,1917,2,992.0,148.8,22,496.0
203,49403,4397,144086,13365,1917,4,584.0,87.6,16,146.0
204,34449,6785,144224,8606,1917,3,555.0,83.25,10,185.0
205,47523,7362,144817,31469,1917,1,290.0,43.5,10,290.0
206,22211,3325,145677,14569,1917,1,105.0,15.75,3,105.0
207,4332,8426,146411,15915,1917,1,240.0,36.0,3,240.0
208,22546,7439,148292,10103,1917,4,100.0,15.0,24,25.0
209,21799,7047,148941,12362,1917,1,196.0,29.4,9,196.0
210,1230,7653,150906,26819,1917,2,586.0,87.9,9,293.0
211,35510,7789,151923,22114,1917,1,107.0,16.05,18,107.0
212,35549,1393,152100,14685,1917,1,169.0,25.35,24,169.0
213,10018,7312,152206,2851,1917,1,125.0,18.75,16,125.0
214,31961,5123,152670,29925,1917,1,98.0,14.7,14,98.0
215,31775,8343,153593,843,1917,1,243.0,36.45,3,243.0
216,35502,5022,153793,16785,1917,3,255.0,38.25,9,85.0
217,49218,5441,154538,6084,1917,4,1452.0,217.8,8,363.0
218,41382,7578,154769,20081,1917,4,288.0,43.2,14,72.0
219,46011,6026,154841,7234,1917,1,361.0,54.15,8,361.0
220,45769,7342,154900,47878,1917,3,1236.0,185.4,20,412.0
221,26414,5500,156871,23118,1917,4,5412.0,811.8,7,1353.0
222,31530,937,157999,1265,1917,1,2184.0,327.6,7,2184.0
223,33860,485,159180,1442,1917,3,6519.0,977.85,6,2173.0
224,6894,4793,160457,15472,1917,3,6177.0,926.55,6,2059.0
225,5461,4065,160885,5525,1917,2,3400.0,510.0,5,1700.0
226,45303,5371,161530,12587,1917,2,4766.0,714.9,3,2383.0
227,32676,7112,161786,31830,1917,2,990.0,148.5,3,495.0
228,2201,4467,162460,17567,1917,2,4420.0,663.0,3,2210.0
229,39484,3024,162848,18844,1917,1,2497.0,374.55,8,2497.0
230,48027,7748,163507,4529,1917,2,1730.0,259.5,8,865.0
231,46974,4548,163866,5581,1917,1,702.0,105.3,8,702.0
232,23599,7377,164442,25508,1917,2,3118.0,467.7,5,1559.0
233,18335,3256,164723,10364,1917,4,2524.0,378.6,8,631.0
234,20928,5275,164730,13195,1917,4,3068.0,460.2,7,767.0
235,31470,7131,165795,34212,1917,2,3826.0,573.9,5,1913.0
236,1598,2877,165843,27151,1917,2,4876.0,731.4,3,2438.0
237,17674,7587,165942,25400,1917,1,1821.0,273.15,7,1821.0
238,34804,3845,167336,2221,1917,1,2291.0,343.65,8,2291.0
239,22996,7764,167799,13488,1917,2,2712.0,406.8,7,1356.0
240,17055,7769,170024,5391,1917,1,1646.0,246.9,7,1646.0
241,37241,5423,170629,5531,1917,2,3358.0,503.7,8,1679.0
242,24283,5101,170734,522,1917,1,1267.0,190.05,6,1267.0
243,19496,6527,170865,27742,1917,2,4540.0,681.0,3,2270.0
244,39227,4987,171333,27862,1917,2,1174.0,176.1,7,587.0
245,43991,2746,171633,20296,1917,1,1422.0,213.3,7,1422.0
246,49233,5137,171972,14717,1917,2,2542.0,381.3,8,1271.0
247,16561,880,172056,5806,1917,1,1198.0,179.7,1,1198.0
248,12532,1623,528,1817,1918,2,218.0,32.7,24,109.0
249,17874,4587,762,9994,1918,2,156.0,23.4,30,78.0
250,31256,4239,1060,787,1918,4,600.0,90.0,28,150.0
251,18877,8234,1691,37917,1918,3,723.0,108.45,18,241.0
252,27365,5466,1728,5158,1918,1,212.0,31.8,24,212.0
253,25250,342,2188,16483,1918,4,684.0,102.6,20,171.0
254,47853,4195,2234,5304,1918,2,356.0,53.4,16,178.0
255,16385,1980,2993,14243,1918,4,776.0,116.4,9,194.0
256,11209,6968,3553,12322,1918,2,344.0,51.6,26,172.0
257,26898,5692,3562,9195,1918,2,92.0,13.8,8,46.0
258,31693,3564,4094,38713,1918,1,190.0,28.5,1,190.0
259,40363,6574,5046,17404,1918,2,322.0,48.3,26,161.0
260,6522,3170,6367,20469,1918,2,74.0,11.1,26,37.0
261,27162,5651,6721,1486,1918,2,196.0,29.4,10,98.0
262,48858,132,7399,19076,1918,1,28.0,4.2,22,28.0
263,32148,1000,8035,15108,1918,1,249.0,37.35,28,249.0
264,20635,1349,8419,4006,1918,2,106.0,15.9,28,53.0
265,35748,7421,9062,32869,1918,1,43.0,6.45,26,43.0
266,39315,2289,9456,34278,1918,2,80.0,12.0,16,40.0
267,46538,4740,9718,25577,1918,4,604.0,90.6,10,151.0
268,30712,829,13422,13274,1918,2,50.0,7.5,3,25.0
269,34874,8763,14233,14588,1918,2,478.0,71.7,6,239.0
270,11553,6602,14988,22590,1918,2,388.0,58.2,28,194.0
271,35266,8352,15625,32162,1918,1,82.0,12.3,5,82.0
272,41582,986,16449,8175,1918,4,732.0,109.8,20,183.0
273,28499,3327,16800,921,1918,1,136.0,20.4,30,136.0
274,39805,3927,17057,18924,1918,2,158.0,23.7,8,79.0
275,23337,3912,17346,22629,1918,2,246.0,36.9,14,123.0
276,47569,8109,17437,29332,1918,2,348.0,52.2,30,174.0
277,32080,6980,17699,37538,1918,2,124.0,18.6,9,62.0
278,40261,5017,18542,7207,1918,1,43.0,6.45,10,43.0
279,25656,7826,19196,10719,1918,1,81.0,12.15,8,81.0
280,15829,4624,19717,4874,1918,2,324.0,48.6,30,162.0
281,25735,3107,20250,9945,1918,1,77.0,11.55,4,77.0
282,32238,4274,20651,811,1918,1,89.0,13.35,4,89.0
283,5378,3279,21074,27098,1918,1,180.0,27.0,12,180.0
284,36495,2522,22308,4392,1918,2,238.0,35.7,10,119.0
285,19081,7743,22331,13312,1918,1,69.0,10.35,22,69.0
286,19813,4193,24143,4739,1918,4,852.0,127.8,14,213.0
287,10808,8485,24287,13792,1918,1,142.0,21.3,8,142.0
288,44287,8026,24616,27103,1918,3,537.0,80.55,7,179.0
289,41898,844,24716,33702,1918,2,456.0,68.4,22,228.0
290,25912,2335,24840,8279,1918,2,482.0,72.3,14,241.0
291,12048,1290,25275,4276,1918,2,314.0,47.1,12,157.0
292,48863,2756,25365,16347,1918,4,736.0,110.4,28,184.0
293,1085,3241,26294,56,1918,2,446.0,66.9,14,223.0
294,1027,8622,27613,22549,1918,4,292.0,43.8,7,73.0
295,45556,4896,29109,16859,1918,1,62.0,9.3,3,62.0
296,39332,5376,29743,15681,1918,2,694.0,104.1,16,347.0
297,25877,4153,30651,7942,1918,3,837.0,125.55,14,279.0
298,27266,2204,30767,39199,1918,1,42.0,6.3,16,42.0
299,25989,5391,31239,13255,1918,2,584.0,87.6,7,292.0
300,42485,1543,31518,8736,1918,1,248.0,37.2,4,248.0
301,2771,7251,32174,22534,1918,1,119.0,17.85,7,119.0
302,21515,2145,32523,25239,1918,2,306.0,45.9,9,153.0
303,40245,2801,32784,12779,1918,4,1104.0,165.6,22,276.0
304,39132,5892,33297,11352,1918,3,693.0,103.95,24,231.0
305,13903,8794,34298,12088,1918,2,302.0,45.3,9,151.0
306,16780,2319,35741,1919,1918,1,182.0,27.3,22,182.0
307,14007,5800,36349,26457,1918,3,303.0,45.45,22,101.0
308,9247,6006,36549,15339,1918,1,255.0,38.25,12,255.0
309,37331,5740,38610,36978,1918,4,1056.0,158.4,7,264.0
310,43052,6280,38804,14736,1918,1,339.0,50.85,12,339.0
311,2982,4536,39020,35993,1918,4,956.0,143.4,7,239.0
312,8412,4809,39165,21335,1918,3,81.0,12.15,24,27.0
313,25331,6567,39542,23583,1918,2,94.0,14.1,8,47.0
314,42297,3644,39671,19542,1918,2,402.0,60.3,14,201.0
315,28940,5373,39890,28050,1918,1,183.0,27.45,22,183.0
316,34665,6617,40256,4079,1918,1,93.0,13.95,22,93.0
317,7381,4292,40688,20569,1918,1,57.0,8.55,8,57.0
318,8502,1866,41013,11573,1918,2,396.0,59.4,22,198.0
319,14326,1260,41619,15266,1918,1,236.0,35.4,20,236.0
320,21343,5050,41635,12389,1918,2,526.0,78.9,4,263.0
321,3169,7658,41852,21672,1918,2,606.0,90.9,16,303.0
322,307,4294,42288,25641,1918,2,412.0,61.8,9,206.0
323,9028,5846,42408,6927,1918,1,266.0,39.9,8,266.0
324,6021,2310,42569,9381,1918,2,58.0,8.7,16,29.0
325,38633,7524,46967,4563,1918,2,72.0,10.8,16,36.0
326,42909,5406,47511,15092,1918,1,116.0,17.4,8,116.0
327,9415,6431,47940,13140,1918,1,185.0,27.75,20,185.0
328,47093,6538,48077,18360,1918,2,680.0,102.0,14,340.0
329,41935,8619,49271,2906,1918,1,109.0,16.35,10,109.0
330,1047,8763,49417,13473,1918,1,290.0,43.5,7,290.0
331,9384,4709,49932,3336,1918,4,196.0,29.4,7,49.0
332,44849,4999,50896,17538,1918,3,756.0,113.4,16,252.0
333,1070,248,51149,16271,1918,1,42.0,6.3,7,42.0
334,27915,7616,51457,4397,1918,2,402.0,60.3,3,201.0
335,41758,6758,52321,32462,1918,1,433.0,64.95,8,433.0
336,13431,4625,52335,4736,1918,1,492.0,73.8,24,492.0
337,13431,4625,52336,4511,1918,2,984.0,147.6,24,492.0
338,32651,7482,53192,23701,1918,1,297.0,44.55,7,297.0
339,36165,1757,53280,5212,1918,1,399.0,59.85,18,399.0
340,5668,5196,53623,7312,1918,2,92.0,13.8,12,46.0
341,41172,7628,54511,19719,1918,1,379.0,56.85,14,379.0
342,2415,6607,54596,5878,1918,1,291.0,43.65,9,291.0
343,29100,155,55490,14277,1918,4,1928.0,289.2,8,482.0
344,17433,601,56012,8384,1918,1,68.0,10.2,7,68.0
345,10103,7980,56579,41730,1918,2,302.0,45.3,5,151.0
346,13485,3005,56901,9345,1918,2,878.0,131.7,18,439.0
347,968,1636,58904,31919,1918,2,766.0,114.9,16,383.0
348,35592,3159,60032,6340,1918,1,286.0,42.9,1,286.0
349,23630,3271,60263,41528,1918,1,119.0,17.85,9,119.0
350,44322,1181,60560,9122,1918,1,364.0,54.6,10,364.0
351,37912,1169,61508,25885,1918,1,417.0,62.55,24,417.0
352,29484,3953,61611,33399,1918,4,1936.0,290.4,10,484.0
353,8057,1154,61825,23990,1918,1,190.0,28.5,16,190.0
354,20139,4712,62396,602,1918,2,818.0,122.7,7,409.0
355,21051,7999,62743,22846,1918,1,453.0,67.95,16,453.0
356,191,4111,63396,8027,1918,4,196.0,29.4,16,49.0
357,39703,4983,63485,1313,1918,2,76.0,11.4,9,38.0
358,9723,2857,63840,602,1918,2,662.0,99.3,24,331.0
359,15121,2991,63984,6443,1918,4,780.0,117.0,20,195.0
360,2166,4044,64587,1237,1918,1,319.0,47.85,14,319.0
361,26620,2359,64958,6820,1918,1,140.0,21.0,16,140.0
362,17704,5615,65513,4645,1918,2,796.0,119.4,10,398.0
363,32918,3495,66576,28728,1918,1,305.0,45.75,8,305.0
364,30317,639,66610,5598,1918,1,339.0,50.85,6,339.0
365,27259,4000,68157,12703,1918,2,230.0,34.5,7,115.0
366,8647,2120,68688,7318,1918,4,1620.0,243.0,14,405.0
367,11528,8004,68991,16667,1918,2,640.0,96.0,18,320.0
368,7262,1978,68993,13152,1918,2,332.0,49.8,20,166.0
369,18383,1699,69189,5647,1918,3,111.0,16.65,22,37.0
370,11835,4279,69495,10416,1918,2,528.0,79.2,24,264.0
371,28692,1809,69822,35388,1918,2,424.0,63.6,14,212.0
372,19350,5745,70953,2583,1918,1,38.0,5.7,14,38.0
373,49630,8691,71505,46275,1918,2,976.0,146.4,9,488.0
374,13921,1740,72627,487,1918,3,1446.0,216.9,14,482.0
375,8475,3644,73551,3385,1918,2,764.0,114.6,14,382.0
376,10565,4110,73905,7977,1918,1,28.0,4.2,6,28.0
377,6002,3170,74261,18654,1918,2,754.0,113.1,22,377.0
378,19812,4659,74400,5253,1918,1,223.0,33.45,18,223.0
379,33140,4173,75239,29304,1918,2,444.0,66.6,24,222.0
380,29216,6351,76054,22513,1918,2,836.0,125.4,12,418.0
381,11258,570,76607,16210,1918,2,214.0,32.1,22,107.0
382,44980,2780,78316,32114,1918,1,219.0,32.85,3,219.0
383,16770,7587,79641,2580,1918,2,148.0,22.2,20,74.0
384,43051,1980,79681,25075,1918,2,104.0,15.6,22,52.0
385,48141,2173,80329,352,1918,2,606.0,90.9,3,303.0
386,29676,506,80609,536,1918,1,211.0,31.65,16,211.0
387,34418,4747,81140,13563,1918,2,174.0,26.1,12,87.0
388,777,6061,81199,4251,1918,1,201.0,30.15,12,201.0
389,39390,5224,81313,29438,1918,4,404.0,60.6,6,101.0
390,39325,5027,82007,4959,1918,2,214.0,32.1,24,107.0
391,42388,5364,82084,27056,1918,2,912.0,136.8,20,456.0
392,13694,1528,82192,86,1918,4,948.0,142.2,22,237.0
393,30664,2544,82339,23832,1918,4,980.0,147.0,16,245.0
394,18803,8462,82806,3279,1918,1,435.0,65.25,12,435.0
395,7559,5275,83281,25606,1918,1,174.0,26.1,4,174.0
396,8035,3325,83579,41061,1918,1,484.0,72.6,4,484.0
397,38402,8002,84228,37121,1918,2,592.0,88.8,4,296.0
398,26457,3533,86139,3593,1918,1,244.0,36.6,22,244.0
399,42884,3357,87433,4447,1918,1,303.0,45.45,24,303.0
400,31884,8385,88128,1417,1918,1,471.0,70.65,10,471.0
401,27847,404,88771,18419,1918,2,994.0,149.1,24,497.0
402,30339,3473,89048,4369,1918,2,210.0,31.5,10,105.0
403,37328,4073,90237,29532,1918,4,1308.0,196.2,12,327.0
404,31485,4688,90339,843,1918,4,980.0,147.0,14,245.0
405,1940,8698,90871,28349,1918,3,138.0,20.7,12,46.0
406,19577,5492,90927,26227,1918,2,394.0,59.1,16,197.0
407,49017,7131,91547,6643,1918,2,158.0,23.7,8,79.0
408,34122,3652,91634,2146,1918,4,1984.0,297.6,18,496.0
409,43127,7045,91692,916,1918,2,88.0,13.2,6,44.0
410,39999,2884,93079,31227,1918,1,471.0,70.65,12,471.0
411,1626,639,95188,7013,1918,1,87.0,13.05,16,87.0
412,42578,1465,95385,31545,1918,1,477.0,71.55,20,477.0
413,10524,8480,95406,16203,1918,2,144.0,21.6,14,72.0
414,33789,6319,95838,15016,1918,2,490.0,73.5,8,245.0
415,38373,404,96325,11206,1918,2,394.0,59.1,6,197.0
416,3381,8254,97842,10399,1918,1,116.0,17.4,7,116.0
417,6910,1872,101507,3652,1918,1,44.0,6.6,20,44.0
418,15139,2653,101837,15108,1918,4,292.0,43.8,7,73.0
419,6321,1665,102734,35427,1918,2,816.0,122.4,10,408.0
420,20171,4346,103119,31979,1918,2,80.0,12.0,16,40.0
