,catid,eventid,eventname,catname
638,7,2742,Spring Awakening,Plays
639,7,3599,Cirque du Soleil,Plays
640,9,4869,Nashville Star,Pop
641,9,7271,Michael Buble,Pop
642,9,8659,Smash Mouth,Pop
643,7,1808,As You Like It,Plays
644,7,2035,The Seagull,Plays
645,7,2618,Look Back in Anger,Plays
646,7,2665,Hedda Gabler,Plays
647,7,3204,A Bronx Tale,Plays
648,7,3426,Spring Awakening,Plays
649,9,5309,Blue Man Group How To Be A Megastar Tour,Pop
650,9,5346,Janet Jackson,Pop
651,9,5495,Boston,Pop
652,9,5931,Joanna Newsom,Pop
653,9,6415,Little River Band,Pop
654,9,6653,Montgomery Gentry,Pop
655,9,6900,Jessica Simpson,Pop
656,9,7230,Trisha Yearwood,Pop
657,9,8250,Paramore,Pop
658,6,1611,Blue Man Group,Musicals
659,7,2197,Avenue Q,Plays
660,7,3380,To Be or Not To Be,Plays
661,9,3884,Decemberists,Pop
662,9,4305,Jim Brickman,Pop
663,9,5092,Live,Pop
664,9,5661,Bette Midler,Pop
665,9,6212,Cowboy Junkies,Pop
666,9,6405,Crosby Stills Nash,Pop
667,9,6889,Govt Mule,Pop
668,9,7672,Jamboree in the Hills,Pop
669,9,8278,Wolf Parade,Pop
670,9,8503,Armando Manzanero,Pop
671,8,433,Orfeo ed Euridice,Opera
672,6,920,A Catered Affair,Musicals
673,6,1326,Seven Brides for Seven Brothers,Musicals
674,6,1664,Phantom of the Opera,Musicals
675,7,1906,Cirque du Soleil,Plays
676,7,2978,Iphigenia,Plays
677,7,3181,Avenue Q,Plays
678,7,3717,The Frogs,Plays
679,9,5459,Jimmy Buffett,Pop
680,9,5863,Toby Keith,Pop
681,9,6141,The Whigs,Pop
682,9,6499,Dj Tiesto,Pop
683,9,6749,Dolly Parton,Pop
684,9,6869,Killers,Pop
685,9,6972,Stone Temple Pilots,Pop
686,9,7074,Jill Scott,Pop
687,9,7815,Dave Koz,Pop
688,9,8548,Kenny G,Pop
689,8,356,La Boheme,Opera
690,6,754,Mamma Mia!,Musicals
691,6,878,Memphis - The Birth of Rock n Roll,Musicals
692,7,2091,Endgame,Plays
693,7,2819,A Streetcar Named Desire,Plays
694,9,4088,Aimee Mann,Pop
695,9,6163,John Fogerty,Pop
696,9,7002,Al Green,Pop
697,9,7673,My Morning Jacket,Pop
698,9,7693,Celine Dion,Pop
699,9,8009,Stone Temple Pilots,Pop
700,9,8321,Wallflowers,Pop
701,9,8494,Calibash,Pop
702,8,165,Die Walkure,Opera
703,8,213,Die Walkure,Opera
704,7,1843,Rhinoceros,Plays
705,7,2202,The Tempest,Plays
706,7,2209,Our Town,Plays
707,7,3016,Rhinoceros,Plays
708,9,6158,Jason Mraz,Pop
709,9,6419,Zucchero,Pop
710,9,6647,UB40,Pop
711,9,6815,John Mayer,Pop
712,9,6841,70s Soul Jam,Pop
713,9,7269,Govt Mule,Pop
714,9,8396,Chaka Khan,Pop
715,8,267,Rusalka,Opera
716,6,654,The King and I,Musicals
717,7,3246,King Lear,Plays
718,9,4124,Calibash,Pop
719,9,5302,Cher,Pop
720,9,6116,Cake,Pop
721,9,7187,Sunday in the Country,Pop
722,9,8479,Joe Satriani,Pop
723,9,8553,John Prine,Pop
724,6,942,Shrek the Musical,Musicals
725,6,1189,Seven Brides for Seven Brothers,Musicals
726,7,1989,The Bacchae,Plays
727,7,3531,Hedda Gabler,Plays
728,7,3598,Passing Strange,Plays
729,9,5593,Demi Lovato,Pop
